cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,failure_reason
Mixed,0.16594719008419068,5000,GuardianPixel,0806.png,2040,1356,5000,39480,0.014272080513621378,True,True,0.0,0.0023680760406424124,74.38684717081732,0.9999957842629211,19644,0.7101336109665105,1,10.069223799975589,8.5611642000149,
Mixed,0.16594719008419068,5000,Sequential Replacement,0806.png,2040,1356,5000,39480,0.014272080513621378,True,True,0.0,0.0023768725779397303,74.37074460663058,0.9999725859291732,19725,0.7130617733819191,1,0.0016706000315025449,2.629996743053198e-05,
Mixed,0.16594719008419068,5000,Sequential Matching,0806.png,2040,1356,5000,39480,0.014272080513621378,True,True,0.0,0.0023768725779397303,74.37074460663058,0.9999724458076585,19725,0.7130617733819191,1,0.07832249999046326,0.004349599999841303,
Mixed,0.16594719008419068,5000,Keyed Random Matching,0806.png,2040,1356,5000,39480,0.014272080513621378,True,True,0.0,0.0024006111785913973,74.32758536781994,0.9999771293879435,19922,0.7201833535774191,1,1.4456586000160314,1.3485838000196964,
Mixed,0.16594719008419068,5000,Canny Synchronous,0806.png,2040,1356,5000,39480,0.014272080513621378,True,False,0.4942502532928065,0.002388681628010103,74.34922091575281,0.999998123927354,19823,0.7166044884030308,1,0.1394144999794662,0.0632309999782592,BIT_ERRORS
Mixed,0.16594719008419068,20000,GuardianPixel,0806.png,2040,1356,20000,144944,0.05239747816530742,True,True,0.0,0.00875255461083155,68.70945531678335,0.9999858360008448,72529,2.62193446700214,1,12.335137800022494,10.35024689999409,
Mixed,0.16594719008419068,20000,Sequential Replacement,0806.png,2040,1356,20000,144944,0.05239747816530742,True,True,0.0,0.00871917596930611,68.72604918239655,0.99988516561774,72358,2.615752790791833,1,0.002354700001887977,0.00010779994772747159,
Mixed,0.16594719008419068,20000,Sequential Matching,0806.png,2040,1356,20000,144944,0.05239747816530742,True,True,0.0,0.00871917596930611,68.72604918239655,0.9998845699099431,72358,2.615752790791833,1,0.27237189997686073,0.03210810001473874,
Mixed,0.16594719008419068,20000,Keyed Random Matching,0806.png,2040,1356,20000,144944,0.05239747816530742,True,True,0.0,0.008730503017332794,68.72041094097223,0.9999173134854878,72452,2.619150905199838,1,2.2618274000124075,1.924551700009033,
Mixed,0.16594719008419068,20000,Canny Synchronous,0806.png,2040,1356,20000,144944,0.05239747816530742,True,False,0.4931835743459543,0.008740986561783022,68.71519908306931,0.9999911184125274,72539,2.6222959685349068,1,0.3136303999926895,0.09139720001257956,BIT_ERRORS
Mixed,0.16594719008419068,50000,GuardianPixel,0806.png,2040,1356,50000,348720,0.1260628145063335,True,True,0.0,0.02102384464110128,64.90368222261517,0.9999572637221492,174154,6.295693793741686,1,14.198682999995071,12.418155500025023,
Mixed,0.16594719008419068,50000,Sequential Replacement,0806.png,2040,1356,50000,348720,0.1260628145063335,True,True,0.0,0.021067586326566023,64.89465578705416,0.9997228094947109,174834,6.3202758979698075,1,0.002459099981933832,0.0005778999766334891,
Mixed,0.16594719008419068,50000,Sequential Matching,0806.png,2040,1356,50000,348720,0.1260628145063335,True,True,0.0,0.021067586326566023,64.89465578705416,0.9997214660694792,174834,6.3202758979698075,1,0.6292272999999113,0.11565029999474064,
Mixed,0.16594719008419068,50000,Keyed Random Matching,0806.png,2040,1356,50000,348720,0.1260628145063335,True,True,0.0,0.02097540343571057,64.91370038174422,0.9998013962482748,174069,6.29262103071317,1,3.426416000002064,2.4170595999457873,
Mixed,0.16594719008419068,50000,Canny Synchronous,0806.png,2040,1356,50000,348720,0.1260628145063335,False,False,,,,,,,,,,"ValueError: Capacity error: Insufficient edge capacity. Need 348720 bits, but only found 171986 edge pixels."
Textured,0.3183728155123871,5000,GuardianPixel,0807.png,2040,1128,5000,40256,0.017494089834515367,True,True,0.0,0.0029114807861678953,73.48966432468445,0.9999980144374291,20078,0.8725316367681825,1,9.407338699966203,7.9015084999846295,
