method,total_runs,embedding_success_runs,reliable_ber_zero_runs,reliable_success_rate_percent,mean_ber,mean_psnr_all_embedded,mean_ssim_all_embedded,mean_psnr_reliable,mean_ssim_reliable,mean_changed_pixel_ratio,mean_embedding_seconds,mean_extraction_seconds
Canny Synchronous,60,60,0,0.0,0.47967427946781005,77.97418113542295,0.9999984278087448,,,0.4004049539130768,0.14851645166248392,0.07186180833668913
GuardianPixel,60,60,60,100.0,0.0,77.9741606320959,0.9999974972336955,77.9741606320959,0.9999974972336955,0.40018669635405335,11.034896403335733,9.286978398331364
Keyed Random Matching,60,60,60,100.0,0.0,77.96604107661666,0.999991129800547,77.96604107661666,0.999991129800547,0.4004575124749134,1.5249606816660768,1.4602708033344243
Sequential Matching,60,60,60,100.0,0.0,77.97431370664701,0.9999893921721751,77.97431370664701,0.9999893921721751,0.4001497177806788,0.0627043949944588,0.0027750666689826176
Sequential Replacement,60,60,60,100.0,0.0,77.97431370664701,0.9999896701517088,77.97431370664701,0.9999896701517088,0.4001497177806788,0.0019392333352395022,3.986165781194965e-05
