cover_category,texture_score,requested_payload_bytes,method,image_id,width,height,payload_original_bytes,embedded_bits,total_bpp,embedding_success,extraction_success,ber,mse,psnr,ssim,changed_pixels,changed_pixel_ratio,maximum_change,embedding_seconds,extraction_seconds,histogram_l1_mean,histogram_chi_square_mean,cover_lsb_chi_square_statistic,stego_lsb_chi_square_statistic,lsb_chi_square_statistic_change,absolute_lsb_chi_square_statistic_change,cover_rs_combined_imbalance,stego_rs_combined_imbalance,rs_combined_imbalance_change,absolute_rs_combined_imbalance_change,smooth_pixel_fraction,smooth_region_change_ratio,mean_modified_position_suitability,mean_image_suitability,suitability_gain,failure_reason
Textured,0.25116261848724836,500,GuardianPixel,0801.png,2040,1356,500,6584,0.0023801260917346288,True,True,0.0,0.000397772186554071,82.13445948214203,0.9999991957323114,3300,0.11929550581294465,1,9.492831300012767,8.024698099994566,0.00021328590433223587,2.033178457946765e-08,2222.41398440649,2221.6446227191414,-0.7693616873484643,0.7693616873484643,0.13066256000925444,0.13064809994794377,-1.4460061310672678e-05,1.4460061310672678e-05,0.25,0.09787878787878788,0.7354369163513184,0.3215678036212921,2.2870352941721634,
Textured,0.25116261848724836,500,Sequential Replacement,0801.png,2040,1356,500,6584,0.0023801260917346288,True,True,0.0,0.00039331366764995085,82.18341322462692,0.999999391402015,3264,0.11799410029498525,1,0.0038115999777801335,2.6499968953430653e-05,0.00011037846800470356,1.7132403795194842e-08,2222.41398440649,2220.013222759069,-2.40076164742095,2.40076164742095,0.13066256000925444,0.13063653189889524,-2.602811035920527e-05,2.602811035920527e-05,0.25,0.41544117647058826,0.3040573000907898,0.3215678036212921,0.9455464653696354,
Textured,0.25116261848724836,500,Sequential Matching,0801.png,2040,1356,500,6584,0.0023801260917346288,True,True,0.0,0.00039331366764995085,82.18341322462692,0.9999993918482003,3264,0.11799410029498525,1,0.035452399984933436,0.0007066000252962112,0.00010170243121830531,1.3698240563229236e-08,2222.41398440649,2221.6745208280236,-0.7394635784662569,0.7394635784662569,0.13066256000925444,0.1306047197640118,-5.78402452426352e-05,5.78402452426352e-05,0.25,0.41544117647058826,0.3040573000907898,0.3215678036212921,0.9455464653696354,
Textured,0.25116261848724836,500,Keyed Random Matching,0801.png,2040,1356,500,6584,0.0023801260917346288,True,True,0.0,0.00039150615998611834,82.20341761199533,0.999998323497732,3249,0.1174518479958355,1,1.251786999986507,1.2207617000094615,0.00013905758960417898,2.4703232585885765e-08,2222.41398440649,2220.6454573823526,-1.7685270241372564,1.7685270241372564,0.13066256000925444,0.13059025970270113,-7.230030655330788e-05,7.230030655330788e-05,0.25,0.24038165589412128,0.3226364850997925,0.3215678036212921,1.0033233472582315,
Textured,0.25116261848724836,500,Canny Synchronous,0801.png,2040,1356,500,6584,0.0023801260917346288,True,False,0.4781287970838396,0.000397049183488538,82.14236053614486,0.9999995268521568,3295,0.11911475504656138,1,0.09539740002946928,0.06070709996856749,9.423139954113336e-05,1.6652913398582334e-08,2222.41398440649,2224.956840131418,2.5428557249283585,2.5428557249283585,0.13066256000925444,0.13067991208282723,1.735207357278501e-05,1.735207357278501e-05,0.25,0.0,0.4705241918563843,0.3215678036212921,1.4632192233104186,BIT_ERRORS
Textured,0.25116261848724836,2000,GuardianPixel,0801.png,2040,1356,2000,18216,0.006585111920874544,True,True,0.0,0.001093421636107737,77.74292697614518,0.9999983012991122,9067,0.3277734397593846,1,9.4793120000395,8.17008310003439,0.00033426841729809146,4.835205231178165e-08,2222.41398440649,2227.23091853441,4.816934127920376,4.816934127920376,0.13066256000925444,0.13067557406443403,1.3014055179588757e-05,1.3014055179588757e-05,0.25,0.05646851218705195,0.8089322447776794,0.3215678036212921,2.515588425420701,
Textured,0.25116261848724836,2000,Sequential Replacement,0801.png,2040,1356,2000,18216,0.006585111920874544,True,True,0.0,0.0011007721672739892,77.71382920855959,0.999996186692886,9135,0.33023165018219675,1,0.00162980001186952,1.699995482340455e-05,0.00016026567952648102,3.6692931448051264e-08,2222.41398440649,2222.1988524689896,-0.21513193750024584,0.21513193750024584,0.13066256000925444,0.13057435363525943,-8.820637399500897e-05,8.820637399500897e-05,0.25,0.33804050355774495,0.2844718098640442,0.3215678036212921,0.8846402116769887,
Textured,0.25116261848724836,2000,Sequential Matching,0801.png,2040,1356,2000,18216,0.006585111920874544,True,True,0.0,0.0011007721672739892,77.71382920855959,0.9999961814075458,9135,0.33023165018219675,1,0.049985799996647984,0.0018684000242501497,0.0001860527888638266,4.666418149730559e-08,2222.41398440649,2225.8117709489493,3.397786542459471,3.397786542459471,0.13066256000925444,0.1305454335126381,-0.00011712649661635433,0.00011712649661635433,0.25,0.33804050355774495,0.2844718098640442,0.3215678036212921,0.8846402116769887,
Textured,0.25116261848724836,2000,Keyed Random Matching,0801.png,2040,1356,2000,18216,0.006585111920874544,True,True,0.0,0.001088963117203617,77.76067190263839,0.9999953138502562,9037,0.3266889351610851,1,1.2994190999888815,1.2389139999868348,0.00018219677251431662,4.119891949583079e-08,2222.41398440649,2221.4425073551993,-0.9714770512905488,0.9714770512905488,0.13066256000925444,0.13060833477933947,-5.422522991496703e-05,5.422522991496703e-05,0.25,0.2438862454354321,0.32209697365760803,0.3215678036212921,1.0016455939629427,
Textured,0.25116261848724836,2000,Canny Synchronous,0801.png,2040,1356,2000,18216,0.006585111920874544,True,False,0.4965415019762846,0.0010931806350858927,77.74388430995684,0.9999987132965464,9072,0.3279541905257678,1,0.125074100040365,0.06269500002963468,0.00015640966317697112,3.42486598452584e-08,2222.41398440649,2223.4106595816515,0.9966751751617267,0.9966751751617267,0.13066256000925444,0.1307016021747932,3.904216553876627e-05,3.904216553876627e-05,0.25,0.0004409171075837742,0.5084323287010193,0.3215678036212921,1.5811045850218142,BIT_ERRORS
