changed_pixel_ratio,cover_lsb_chi_square,cover_rs,histogram_chi_square,histogram_l1,image_id,lsb_chi_square_p_value_change,lsb_chi_square_statistic_change,mean_image_suitability,mean_modified_position_suitability,modified_pixel_count,rs_combined_imbalance_change,smooth_pixel_fraction,smooth_region_change_ratio,stego_lsb_chi_square,stego_rs,suitability_gain
0.008622534559546532,"{'statistic': 12586.60561926908, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 390446, 'singular_positive': 301114, 'unusable_positive': 0, 'regular_negative': 390245, 'singular_negative': 301302, 'unusable_negative': 13, 'positive_imbalance': 0.12917461970038752, 'negative_imbalance': 0.12861212331540287, 'combined_imbalance': 0.1288933715078952}","{'red': 2.952696492422215e-07, 'green': 1.7019878861451703e-07, 'blue': 2.3023081854942286e-07, 'mean': 2.3189975213538713e-07}","{'red': 0.0005386372838220741, 'green': 0.0005292382439701582, 'blue': 0.0005668344033778827, 'mean': 0.0005449033103900384}",0811.png,0.0,64.47370225022678,,,23852,-1.7352073572812765e-05,0.25,0.03504947174241154,"{'statistic': 12651.079321519306, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 390402, 'singular_positive': 301158, 'unusable_positive': 0, 'regular_negative': 390277, 'singular_negative': 301270, 'unusable_negative': 13, 'positive_imbalance': 0.1290473711608537, 'negative_imbalance': 0.12870466770779107, 'combined_imbalance': 0.1288760194343224}",
0.007722822201797386,"{'statistic': 6380.050028695043, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 468000, 'singular_positive': 315360, 'unusable_positive': 0, 'regular_negative': 468417, 'singular_negative': 314930, 'unusable_negative': 13, 'positive_imbalance': 0.1948529411764706, 'negative_imbalance': 0.1959341809640523, 'combined_imbalance': 0.19539356107026146}","{'red': 1.2815120632072611e-07, 'green': 1.5489340574036876e-07, 'blue': 1.29753585080168e-07, 'mean': 1.3759939904708763e-07}","{'red': 0.0005106209150326807, 'green': 0.00048445159313725654, 'blue': 0.0005176419526143751, 'mean': 0.0005042381535947708}",0812.png,0.0,-19.694408619639944,,,24199,-0.00011361315359478819,0.25,0.03892722839786768,"{'statistic': 6360.355620075403, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 467983, 'singular_positive': 315377, 'unusable_positive': 0, 'regular_negative': 468345, 'singular_negative': 315002, 'unusable_negative': 13, 'positive_imbalance': 0.1948095383986928, 'negative_imbalance': 0.19575035743464053, 'combined_imbalance': 0.19527994791666667}",
0.008225516982749384,"{'statistic': 465419.0521029145, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 746640, 'regular_positive': 494811, 'singular_positive': 251829, 'unusable_positive': 0, 'regular_negative': 486013, 'singular_negative': 247079, 'unusable_negative': 13548, 'positive_imbalance': 0.32543394406943105, 'negative_imbalance': 0.32001232186863815, 'combined_imbalance': 0.3227231329690346}","{'red': 1.67654577365598e-07, 'green': 1.8786214746120213e-07, 'blue': 2.3168049179747909e-07, 'mean': 1.957324055414264e-07}","{'red': 0.0006087270973963461, 'green': 0.0006120754312654074, 'blue': 0.0006167630986820985, 'mean': 0.000612521875781284}",0813.png,0.0,-915.1751496854704,,,24566,-0.00022902603664415322,0.25,0.041317267768460474,"{'statistic': 464503.876953229, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 746640, 'regular_positive': 494693, 'singular_positive': 251947, 'unusable_positive': 0, 'regular_negative': 485963, 'singular_negative': 247135, 'unusable_negative': 13542, 'positive_imbalance': 0.3251178613521912, 'negative_imbalance': 0.3198703525125897, 'combined_imbalance': 0.32249410693239045}",
0.008438168777835618,"{'statistic': 54417.543465288465, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 515676, 'singular_positive': 175884, 'unusable_positive': 0, 'regular_negative': 517456, 'singular_negative': 174025, 'unusable_negative': 79, 'positive_imbalance': 0.49134131528717684, 'negative_imbalance': 0.496603331598126, 'combined_imbalance': 0.4939723234426514}","{'red': 6.181829629984546e-07, 'green': 1.590867989408907e-06, 'blue': 8.716739830241358e-07, 'mean': 1.0269083118104992e-06}","{'red': 0.000535022268494424, 'green': 0.0005024871305454515, 'blue': 0.0005617733819191325, 'mean': 0.0005330942603196694}",0814.png,0.0,-167.8868669729345,,,23342,-0.00015255364682748018,0.2500010845045983,0.031873875417701994,"{'statistic': 54249.65659831553, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 515564, 'singular_positive': 175996, 'unusable_positive': 0, 'regular_negative': 517463, 'singular_negative': 174019, 'unusable_negative': 78, 'positive_imbalance': 0.49101740991381804, 'negative_imbalance': 0.4966221296778298, 'combined_imbalance': 0.4938197697958239}",
0.008554210769853665,"{'statistic': 5736.488743807144, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 404852, 'singular_positive': 286708, 'unusable_positive': 0, 'regular_negative': 403618, 'singular_negative': 287576, 'unusable_negative': 366, 'positive_imbalance': 0.170836948348661, 'negative_imbalance': 0.16779744346116027, 'combined_imbalance': 0.16931719590491062}","{'red': 2.1425853672051343e-07, 'green': 1.6470558491184443e-07, 'blue': 2.269197381990731e-07, 'mean': 2.01961286610477e-07}","{'red': 0.0005668344033778756, 'green': 0.0005393602868876152, 'blue': 0.0005342992654288855, 'mean': 0.0005468313185647921}",0815.png,0.0,60.4724049587785,,,23663,-2.892012262112331e-06,0.25,0.034230655453661836,"{'statistic': 5796.961148765922, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 404825, 'singular_positive': 286735, 'unusable_positive': 0, 'regular_negative': 403643, 'singular_negative': 287551, 'unusable_negative': 366, 'positive_imbalance': 0.17075886401758344, 'negative_imbalance': 0.16786974376771358, 'combined_imbalance': 0.1693143038926485}",
0.008644224651512522,"{'statistic': 137522.27650395234, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 420057, 'singular_positive': 271503, 'unusable_positive': 0, 'regular_negative': 406694, 'singular_negative': 271093, 'unusable_negative': 13773, 'positive_imbalance': 0.21480999479437793, 'negative_imbalance': 0.19607987737868007, 'combined_imbalance': 0.205444936086529}","{'red': 4.317543036141575e-07, 'green': 3.876868137208254e-07, 'blue': 3.39377494645033e-07, 'mean': 3.8627287066000533e-07}","{'red': 0.0005935855168025893, 'green': 0.0006535947712418315, 'blue': 0.0006333506854069135, 'mean': 0.0006268436578171114}",0816.png,0.0,-571.3942953603109,,,23912,-9.471340158481723e-05,0.25,0.038892606222817,"{'statistic': 136950.88220859203, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 420058, 'singular_positive': 271502, 'unusable_positive': 0, 'regular_negative': 406649, 'singular_negative': 271181, 'unusable_negative': 13730, 'positive_imbalance': 0.21481288680664007, 'negative_imbalance': 0.1958875585632483, 'combined_imbalance': 0.20535022268494418}",
0.00771484375,"{'statistic': 36035.04958395369, 'degrees_of_freedom': 126, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 471533, 'singular_positive': 311827, 'unusable_positive': 0, 'regular_negative': 470550, 'singular_negative': 312805, 'unusable_negative': 5, 'positive_imbalance': 0.20387305964052288, 'negative_imbalance': 0.20136974060457516, 'combined_imbalance': 0.20262140012254903}","{'red': 1.6293900960129964e-07, 'green': 2.96263921592401e-07, 'blue': 2.396325615727491e-07, 'mean': 2.3294516425548323e-07}","{'red': 0.00046466503267973214, 'green': 0.00045445261437907945, 'blue': 0.0005495557598039209, 'mean': 0.0004895578022875775}",0817.png,0.0,-44.192744162195595,,,24174,-5.872140522877878e-05,0.25,0.04037395548936874,"{'statistic': 35990.85683979149, 'degrees_of_freedom': 126, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 471541, 'singular_positive': 311819, 'unusable_positive': 0, 'regular_negative': 470496, 'singular_negative': 312859, 'unusable_negative': 5, 'positive_imbalance': 0.2038934844771242, 'negative_imbalance': 0.20123187295751635, 'combined_imbalance': 0.20256267871732025}",
0.007678462009803921,"{'statistic': 95109.72941988891, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 547347, 'singular_positive': 236013, 'unusable_positive': 0, 'regular_negative': 530814, 'singular_negative': 232734, 'unusable_negative': 19812, 'positive_imbalance': 0.3974341299019608, 'negative_imbalance': 0.3805147058823529, 'combined_imbalance': 0.38897441789215687}","{'red': 1.7996826285399438e-07, 'green': 2.019805434597287e-07, 'blue': 2.1352748975066784e-07, 'mean': 1.984920986881303e-07}","{'red': 0.0005865757761437918, 'green': 0.0005706188725490167, 'blue': 0.0006133833741830061, 'mean': 0.0005901926742919382}",0818.png,0.0,-627.9831401551346,,,24060,-0.00012637867647058432,0.25,0.03736492103075644,"{'statistic': 94481.74627973378, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 783360, 'regular_positive': 547315, 'singular_positive': 236045, 'unusable_positive': 0, 'regular_negative': 530756, 'singular_negative': 232810, 'unusable_negative': 19794, 'positive_imbalance': 0.3973524305555556, 'negative_imbalance': 0.380343647875817, 'combined_imbalance': 0.3888480392156863}",
0.008884261669269478,"{'statistic': 20742.678995440285, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 411929, 'singular_positive': 279631, 'unusable_positive': 0, 'regular_negative': 411414, 'singular_negative': 280137, 'unusable_negative': 9, 'positive_imbalance': 0.1913037191277691, 'negative_imbalance': 0.18982734686795072, 'combined_imbalance': 0.19056553299785992}","{'red': 1.663230963441247e-07, 'green': 1.8226023926877156e-07, 'blue': 1.936422383484727e-07, 'mean': 1.80741857987123e-07}","{'red': 0.0006022615535889897, 'green': 0.0005791254554919305, 'blue': 0.0006073225750477131, 'mean': 0.0005962365280428777}",0819.png,0.0,-106.91115239848659,,,24576,-1.4460061310839212e-06,0.25,0.0411376953125,"{'statistic': 20635.7678430418, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 411946, 'singular_positive': 279614, 'unusable_positive': 0, 'regular_negative': 411397, 'singular_negative': 280156, 'unusable_negative': 7, 'positive_imbalance': 0.19135288333622535, 'negative_imbalance': 0.18977529064723234, 'combined_imbalance': 0.19056408699172883}",
0.00877870322170166,"{'statistic': 126615.43464126685, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 419868, 'singular_positive': 271692, 'unusable_positive': 0, 'regular_negative': 404127, 'singular_negative': 265525, 'unusable_negative': 21908, 'positive_imbalance': 0.21426340447683498, 'negative_imbalance': 0.20041934177800913, 'combined_imbalance': 0.20734137312742207}","{'red': 2.271863952746583e-07, 'green': 3.5962077637689673e-07, 'blue': 3.8089812330280056e-07, 'mean': 3.2256843165145186e-07}","{'red': 0.00066299381109376, 'green': 0.0007620452310717735, 'blue': 0.0008249464977731574, 'mean': 0.0007499951799795636}",0820.png,0.0,-1454.813805754733,,,24284,-0.00011134247209210191,0.25,0.038996870367320045,"{'statistic': 125160.62083551212, 'degrees_of_freedom': 128, 'p_value': 0.0}","{'group_count': 691560, 'regular_positive': 419747, 'singular_positive': 271813, 'unusable_positive': 0, 'regular_negative': 404201, 'singular_negative': 265511, 'unusable_negative': 21848, 'positive_imbalance': 0.213913470993117, 'negative_imbalance': 0.20054659031754293, 'combined_imbalance': 0.20723003065532997}",
