method,total_runs,embedding_success_runs,reliable_ber_zero_runs,reliable_success_rate_percent,mean_ber,mean_psnr_all_embedded,mean_ssim_all_embedded,mean_psnr_reliable,mean_ssim_reliable,mean_changed_pixel_ratio,mean_embedding_seconds,mean_extraction_seconds
Canny Synchronous,60,37,0,0.0,0.49419076903834463,71.02349202388194,0.999993676157039,,,2.1340389856013746,0.33805347567210225,0.106684332427166
GuardianPixel,60,60,60,100.0,0.0,69.33810337364292,0.99997487321957,69.33810337364292,0.99997487321957,3.203170362547785,12.332636631666295,10.23759943333862
Keyed Random Matching,60,60,60,100.0,0.0,69.3337384543589,0.9999119634370724,69.3337384543589,0.9999119634370724,3.212390442711688,2.15977558666976,1.9332594816640873
Sequential Matching,60,60,60,100.0,0.0,69.33668435655218,0.9998763625784748,69.33668435655218,0.9998763625784748,3.2118754297505747,0.31168835499750763,0.04565023000371487
Sequential Replacement,60,60,60,100.0,0.0,69.33668435655218,0.9998817701165432,69.33668435655218,0.9998817701165432,3.2118754297505747,0.002182646672008559,0.00011471832694951445
